"Z_1","Z_2","Z_3","Z_4","Z_5","Z_6","Z_7","Z_8","Z_9","Z_10","Z_11","Z_12","Z_13","Z_14","Z_15","Z_16","Z_17","Z_18","Z_19","Z_20","Z_21","Z_22","Z_23","Z_24","Z_25","Z_26","Z_27","Z_28","Z_29","Z_30"
0,0,0.0102738253500375,0.00949224947879627,0.00919299776938473,0.00933552388331649,0.00664634634826228,0,0.00733048989028104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.509053415006235,0,0.00769418323587303,0,0.00724354156876859,0,0,0,0.0089062889411727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0074329258570192,0.010210054829549
0.535092289442849,0.774550901149126,0,0,0.007355120702379,0,0,0.0065282467928874,0,0.00984527019476364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.459870527114087,0.623912744919261,0.887182255763028,0,0,0,0,0,0,0.00970538921598213,0,0,0.00684970030997064,0,0,0,0,0.00948764075915544,0,0,0,0,0,0,0,0,0,0.00756975910613403,0.00843022414849091,0.0118717179933647
0.263144531114632,0.337617116892241,0.487890863359596,0.768527996526326,0,0,0,0,0.00849030546259733,0.00901874356427599,0,0,0.00755301434292464,0.0147164122294331,0,0,0,0.010456775315569,0,0,0,0,0,0,0,0,0,0,0.00885818129131755,0.0131093968413369
0.187090060436318,0.255603273398333,0.320228747617752,0.600525432501971,0.826438987069863,0,0,0,0,0,0.00826243648745915,0.00771132967764951,0.0103849447532827,0.00888249168289273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00966049018740394,0.0168678017107445
0.0867711073250146,0.140108639991793,0.221991576704165,0.36717936045683,0.482449839068341,0.702269519160087,0,0,0,0.0110458841165629,0.00761694607678327,0.00657957224002638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0246268460391043,0.0675175921907256,0.144616593338275,0.265203776431904,0.35885543746305,0.597201408391013,0.919927250394232,0,0.00610495021683359,0.0141227368908091,0.0110008719149145,0.00696930003479251,0.00840477118354859,0.00802949773464378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0289211328606304,0.066486319992502,0.158691605054433,0.222503295942526,0.354252628486749,0.580573512589299,0.775261845944725,0,0,0,0.00966005061074696,0,0,0,0,0.00743996194722227,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.0194293135504272,0.0473547080225834,0.161659022500302,0.27669549050651,0.395064843174925,0.619426963929663,0.871254976768603,0,0,0,0.0143989738755732,0.00970451658215475,0.0072897885778821,0,0.00811923511993577,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.00594721730486693,0.01123368020628,0.033274808790412,0.0557192987677375,0.182228029554723,0.239863698335833,0.358042057084391,0.52393767781496,0.716733461822266,0,0.00541780102846006,0,0,0.00728725400032003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.0070783373641885,0.0151911815264605,0.0336893720419216,0.0678541632567575,0.187807462570468,0.296448964176399,0.363961870696787,0.61431693286648,0.765826932380014,0,0.00705075797111536,0.0277744035983411,0.0145687915694752,0.00964845698963725,0.00669626333973979,0.00615732681129452,0,0,0,0,0,0,0,0,0,0,0,0
0,0.00966215052287489,0,0,0.00863247110163218,0.0367505383928539,0.0685923378397313,0.188417583075208,0.234996745585896,0.382849680120369,0.548079164823818,0.768635737526915,0,0.0230546035407298,0.00610888228163305,0,0,0,0.00697877103752818,0,0,0,0,0,0,0,0,0,0,0
0,0,0.00622926121303533,0,0,0.0118808683954704,0.0484976501632951,0.0699898636101637,0.186247842467713,0.325746582642681,0.387939896973936,0.68799763843022,0.851344013441634,0,0,0.0120934261927815,0,0.00730700587962388,0.01317961691908,0,0,0.00651957979800624,0.0095051199760363,0,0,0,0,0,0,0
0,0,0,0,0,0,0.00648031677341443,0.0521003043793806,0.0628209943673029,0.217317174294505,0.248363021710769,0.411151797834658,0.576991537734147,0.750945390737074,0,0.00534867865807221,0,0,0.00572635262019804,0,0.00615709171465926,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.0102055474060647,0.0498393631515648,0.0753919403683139,0.216220163637449,0.37906024390435,0.413645449229579,0.667142379213182,0.864995760595169,0,0.00573481829391364,0,0,0,0,0,0.0117521433728893,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.00903411575049631,0.0555171900103721,0.0725288760063631,0.237393512469423,0.298247869346018,0.424857201461745,0.623244289396174,0.738935877147596,0,0,0,0,0,0,0.0141342150848874,0.0079402958126995,0,0,0,0,0,0
0.00658797162203375,0.00736313435140506,0,0,0,0,0.00535196982121293,0,0.0140122319852687,0.0239398054153454,0.0660190959765064,0.0856691479288028,0.238419184239683,0.362139180941637,0.428275262880999,0.667906527215849,0.806491537286981,0,0.00949188792592467,0.0104190928962163,0.0136924270164397,0.00927808892903383,0.00805210573109712,0,0.00749379762182462,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.0126644767909085,0.0196896225248535,0.0889582270491543,0.0766866069301841,0.24628400996614,0.272797127055348,0.408290549139023,0.555116242010555,0.761929658921974,0,0.00708268167888327,0,0.00745928188203049,0.00738331354243541,0,0.0083074640421854,0.0096389433405947,0,0,0,0
0.00667469805351845,0.00718448575424208,0,0,0.00889817333982259,0,0,0,0,0,0.0140215669359528,0.0263403679264918,0.0669135681128241,0.110034045250791,0.219549148370323,0.334043283896897,0.4021671125107,0.705866891731753,0.796824978324751,0,0,0.00942711932660548,0.00981354401797415,0.00959576677321645,0.0172253243726253,0.00922440994295071,0.0106067606056269,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.0200262691068902,0.0285954558341982,0.0803213824722767,0.08667339642711,0.19724517977475,0.249663652453665,0.38192266161123,0.518730672368976,0.669149893765805,0,0.0192659159470942,0.00617937862550229,0.0106951399055181,0.0185191691677995,0.0104779064549142,0.00702080824383434,0.00802183758176572,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.0213523464926984,0.0254752350655387,0.0620849244100653,0.102079574594515,0.240047131709257,0.328747331010774,0.398071249822206,0.653030790631102,0.727777772643519,0,0.00760666849704956,0.00843544542118999,0.00737520167763096,0.00746024151249114,0.00739867714847699,0,0.0109426711654473,0
0,0,0,0,0,0,0,0,0,0,0,0,0.0131236613522833,0.0304932945403135,0.0183740691234961,0.0581086619211672,0.0901640994222458,0.220763377992862,0.283330200513807,0.404527778363436,0.532093835675969,0.700332287534223,0,0.0129416598304365,0.0140874182186163,0.00663387549891737,0.0090992417006564,0,0.0104974051002861,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.012997692685823,0.0186797193424381,0.0151326809477132,0.0741498149609688,0.135406933124359,0.221447846881966,0.368867907925074,0.409370058078491,0.698927505866756,0.850492795505237,0,0,0,0.00815623064904803,0.0116559688431126,0.00711242496310452,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.00871572252201646,0.00753466083727549,0.0244582166189924,0.0317884399978037,0.104878492291112,0.109256825946142,0.236703037259885,0.269162367864295,0.386477869179037,0.528294273845016,0.653851511897545,0,0.00733871843370662,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00804803619930052,0.0310804199872424,0.034316387210192,0.0956471005991272,0.147624734722107,0.225841447715674,0.366641802689351,0.43997035976162,0.656833253813597,0.777054173745241,0,0.0185437562841299,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00732487094251635,0,0.0308300668806239,0.0378391646131438,0.0873644106314075,0.114881215285295,0.20821955988472,0.243904393003004,0.379508195486416,0.519425058352965,0.716620745397905,0,0.0185993923630065,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00558959676816436,0,0.0145796624772567,0.0402010444560181,0.0605344852013532,0.116175572594682,0.170092834194935,0.228906561724796,0.339510536868656,0.369900126108738,0.62301645304949,0.714942921369271,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00793721031907306,0,0.0113620443331014,0.0111707228313931,0.0194760392434649,0.0329401471733135,0.0808999308480585,0.0883335196004757,0.143337509037884,0.165170312806054,0.183417671845953,0,1.07136573677313
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0289934992864614,0
